sampleid	samplingdate	ST
SH260520x1x01xr2	2019-11-03	3
SH250620x3x01	2019-11-15	53
SH250620x3x02	2019-11-17	478
SH171220x1x01	2019-11-17	1
SH250620x3x04	2019-11-20	53
SH250620x3x18	2019-11-20	24
SH250620x3x03	2019-11-21	2
SH250620x3x09	2019-11-26	701
SH250620x3x05	2019-11-26	-
SH250620x3x08	2019-11-26	-
SH250620x3x07	2019-11-26	-
SH171220x1x27	2019-11-26	43
SH250620x3x10	2019-11-27	-
SH250620x3x06	2019-11-27	221
SH171220x1x28	2019-11-29	73
SH250620x3x11	2019-11-29	10
SH171220x1x02	2019-11-29	-
SH250620x3x12	2019-12-02	4
SH250620x3x15	2019-12-02	43
SH250620x3x14	2019-12-04	3
SH250620x3x17	2019-12-04	43
SH171220x1x30	2019-12-05	-
SH171220x1x05	2019-12-06	221
SH171220x1x06	2019-12-06	221
SH250620x3x16	2019-12-06	36
SH250620x3x19	2019-12-07	661
SH171220x1x31	2019-12-07	-
SH171220x1x04	2019-12-07	24
SH250620x3x21	2019-12-10	87
SH171220x1x32	2019-12-10	678
SH250620x3x20	2019-12-11	86
SH171220x1x33	2019-12-11	61
SH171220x1x34	2019-12-12	1120
SH171220x1x35	2019-12-13	53
SH171220x1x36	2019-12-13	4
SH250620x3x24	2019-12-15	10
SH250620x3x22	2019-12-15	27
SH250620x3x23	2019-12-15	10
SH171220x1x37	2019-12-17	-
SH250620x3x25	2019-12-18	2
SH171220x1x07	2019-12-18	22
SH250620x3x77	2019-12-19	-
SH250620x3x75	2019-12-20	950
SH250620x3x76	2019-12-21	908
SH250620x3x78	2019-12-21	2
SH171220x1x54	2019-12-21	506
SH171220x1x55	2019-12-21	35
SH250620x3x79	2019-12-23	304
SH250620x3x80	2019-12-28	4
SH171220x1x56	2019-12-31	43
SH250620x3x27	2020-01-01	632
SH250620x3x82	2020-01-02	2
SH250620x3x29	2020-01-03	2
SH250620x3x30	2020-01-03	702
SH250620x3x81	2020-01-03	1
SH250620x3x83	2020-01-04	-
SH250620x3x32	2020-01-04	43
SH250620x3x39	2020-01-05	3
SH250620x3x28	2020-01-05	3
SH171220x1x08	2020-01-05	3
SH250620x3x38	2020-01-06	1
SH250620x3x37	2020-01-06	716
SH250620x3x26	2020-01-06	506
SH250620x3x33	2020-01-06	10
SH250620x3x31	2020-01-06	-
SH250620x3x35	2020-01-07	-
SH250620x3x36	2020-01-07	3
SH250620x3x84	2020-01-07	416
SH171220x1x40	2020-01-07	-
SH250620x3x41	2020-01-07	620
SH171220x1x38	2020-01-07	692
SH250620x3x34	2020-01-07	416
SH250620x3x52	2020-01-08	6
SH250620x3x40	2020-01-08	43
SH171220x1x41	2020-01-08	43
SH171220x1x42	2020-01-08	3
SH250620x3x47	2020-01-09	-
SH250620x3x46	2020-01-09	1
SH250620x3x53	2020-01-09	1
SH250620x3x51	2020-01-09	3
SH250620x3x50	2020-01-09	3
SH250620x3x42	2020-01-09	-
SH250620x3x45	2020-01-10	218
SH250620x3x44	2020-01-10	3
SH250620x3x43	2020-01-10	442
SH250620x3x48	2020-01-10	3
SH250620x3x70	2020-01-12	455
SH250620x3x49	2020-01-12	87
SH171220x1x39	2020-01-13	471
SH171220x1x49	2020-01-14	3
SH171220x1x48	2020-01-15	3
SH171220x1x09	2020-01-15	53
SH040221x2x58	2020-01-15	10
SH171220x1x52	2020-01-16	323
SH171220x1x44	2020-01-17	4
SH171220x1x50	2020-01-17	506
SH171220x1x51	2020-01-17	318
SH250620x3x73	2020-01-17	3
SH250620x3x72	2020-01-17	-
SH250620x3x54	2020-01-17	-
SH250620x3x74	2020-01-18	2
SH171220x1x43	2020-01-18	700
SH171220x1x53	2020-01-18	53
SH250620x3x56	2020-01-19	-
SH171220x1x45	2020-01-19	24
SH250620x3x55	2020-01-19	6
SH250620x3x63	2020-01-20	700
SH250620x3x58	2020-01-20	3
SH250620x3x61	2020-01-20	66
SH250620x3x62	2020-01-21	129
SH250620x3x59	2020-01-21	4
SH171220x1x46	2020-01-21	-
SH171220x1x47	2020-01-21	1
SH250620x3x65	2020-01-21	43
SH250620x3x64	2020-01-22	2
SH250620x3x69	2020-01-23	1
SH250620x3x85	2020-01-23	512
SH250620x3x67	2020-01-24	9
SH250620x3x66	2020-01-25	-
SH250620x3x86	2020-01-26	1000
SH171220x1x57	2020-01-26	404
SH250620x3x89	2020-01-27	3
SH250620x3x96	2020-01-27	39
SH250620x3x91	2020-01-28	-
SH250620x3x92	2020-01-28	22
SH250620x3x88	2020-01-28	2
SH171220x1x10	2020-01-29	-
SH171220x1x58	2020-01-29	44
SH220420x1x02	2020-01-29	620
SH250620x3x87	2020-01-29	129
SH250620x3x90	2020-01-29	43
SH250620x3x94	2020-01-31	4
SH250620x3x95	2020-01-31	-
SH171220x1x66	2020-01-31	44
SH171220x1x59	2020-01-31	197
SH220420x1x08	2020-01-31	1
SH220420x1x11	2020-01-31	3
SH220420x1x01	2020-01-31	44
SH220420x1x33	2020-01-31	477
