sampleid	samplingdate	ST
ERR10039993	2016-09-22	ST101-2LV
ERR10039997	2016-12-13	ST15-1LV
ERR10040001	2015-09-11	ST11
ERR10040002	2015-09-14	ST1082
ERR10040003	2015-11-17	ST1082
ERR10040004	2015-12-01	ST2457
ERR10040005	2016-01-05	ST2457
ERR10040017	2018-03-08	ST405
ERR10040020	2018-03-16	ST37
ERR10040030	2018-06-27	ST76
ERR10040032	2017-11-16	ST902
ERR10040034	2017-09-05	ST896
ERR10040035	2017-12-19	ST11
ERR10040037	2018-02-01	ST11
ERR10040038	2018-02-01	ST14
ERR10040039	2018-02-15	ST101
ERR10040040	2018-04-18	ST36
ERR10040048	2018-01-15	ST252
ERR10040050	2018-01-10	ST661
ERR10040051	2018-05-04	ST661
ERR10040052	2018-02-19	ST37
ERR10040055	2018-04-04	ST294
ERR10040056	2018-02-27	ST1235
ERR10040063	2018-04-08	ST34
ERR10040064	2018-03-28	ST258
ERR10040065	2018-01-11	ST395
ERR10040068	2017-09-08	ST1333
ERR10040069	2017-09-08	ST661
ERR10040070	2017-09-08	ST17-1LV
ERR10040071	2017-10-19	ST392
ERR10040072	2017-10-24	ST104
ERR10040074	2018-01-19	ST661
ERR10040076	2018-02-12	ST1296
ERR10040077	2018-02-15	ST147
ERR10040078	2018-02-19	ST1296
ERR10040079	2018-02-22	ST870
ERR10040084	2018-03-21	ST1832
ERR10040085	2018-02-27	ST556
ERR10040088	2018-03-16	ST528
ERR10040105	2015-02-18	ST4295
ERR10387354	2018-02-07	ST307
ERR10431322	2020-06-27	ST1841
ERR10431325	2020-06-21	ST221
ERR10431328	2020-06-30	ST45
ERR10432421	2020-02-29	ST13
ERR10432423	2020-03-01	ST948
ERR10432434	2020-03-03	ST20
ERR10432437	2020-03-03	ST37
ERR10432501	2020-08-01	ST299
ERR10432521	2020-08-15	ST66
ERR10432650	2020-03-05	ST16
ERR10432653	2020-03-06	ST22
ERR10432654	2020-03-08	ST2280-1LV
ERR10432657	2020-03-06	ST378-1LV
ERR10432658	2020-03-08	ST692-2LV
ERR10432659	2020-03-05	ST16
ERR10432661	2020-03-06	ST2446
ERR10432662	2020-03-07	ST378-1LV
ERR10432664	2020-11-24	ST23
ERR10432665	2020-11-28	ST273
ERR10432669	2020-12-11	ST147
ERR10432686	2020-12-18	ST37
ERR10432689	2020-12-17	ST15
ERR10436520	2020-04-08	ST309
ERR10436521	2020-04-06	ST1941
ERR10436522	2020-04-07	ST14
ERR10436523	2020-04-07	ST461
ERR10436534	2020-11-09	ST35
ERR10437568	2020-03-02	ST942-1LV
ERR10437572	2020-03-03	ST942-1LV
ERR10437573	2020-03-03	ST458
ERR10437574	2020-03-04	ST4007
ERR10437578	2020-05-06	ST2262
ERR10437579	2020-05-03	ST45
ERR10437757	2020-03-24	ST35
ERR10437759	2020-03-29	ST133
ERR10437760	2020-03-25	ST1013
ERR10437761	2020-04-03	ST70
ERR10437762	2020-03-30	ST105
ERR10437763	2020-03-24	ST37
ERR10438612	2020-03-02	ST13
ERR10438613	2020-03-02	ST101-1LV
ERR10438614	2020-03-03	ST200
ERR10438615	2020-03-03	ST219
ERR10438908	2020-04-18	ST25
ERR10438909	2020-04-16	ST307
ERR10438910	2020-04-15	ST43
ERR10438912	2020-04-20	ST3113
ERR10438913	2020-04-18	ST147
ERR10438914	2020-04-21	ST5469
ERR10438915	2020-04-22	ST307
ERR10438916	2020-04-28	ST1552
ERR10438917	2020-04-24	ST1922-3LV
ERR10438918	2020-04-24	ST101
ERR10438934	2020-11-02	ST307
ERR10438936	2020-10-29	ST5469
ERR10438948	2020-11-05	ST147
ERR10438950	2020-11-02	ST2729
ERR10438953	2020-11-09	ST147
ERR10438954	2020-11-08	ST45
ERR10438955	2021-02-03	ST2457-1LV
ERR10438956	2021-02-19	ST5240
ERR10438958	2021-03-22	ST3248-1LV
ERR10440848	2016-03-18	ST307
ERR10440849	2016-04-01	ST307
ERR10440850	2015-06-02	ST11
ERR10440853	2016-04-11	ST307
ERR10440855	2016-04-21	ST147
ERR10440862	2016-05-06	ST11
ERR10440863	2016-05-20	ST11
ERR10440864	2016-05-21	ST307
ERR10440866	2016-05-20	ST101
ERR10440869	2016-05-28	ST307
ERR10440870	2016-06-01	ST307-1LV
ERR10440876	2016-07-12	ST101
ERR10440881	2016-08-02	ST101
ERR10440882	2016-08-04	ST101
ERR10440883	2016-08-11	ST101-1LV
ERR10440888	2016-09-05	ST307
ERR10440889	2016-09-02	ST307
ERR10440891	2016-09-09	ST11
ERR10440894	2016-09-12	ST101
ERR10440898	2016-10-17	ST307
ERR10440899	2016-10-18	ST307
ERR10440902	2016-10-25	ST307
ERR10440905	2016-11-03	ST101
ERR10440906	2016-11-07	ST307
ERR10440932	2016-12-27	ST11
ERR10440938	2017-02-03	ST307
ERR10440944	2016-12-05	ST101
ERR10440947	2015-08-30	ST147
ERR10440948	2015-09-02	ST107
ERR10440949	2015-09-22	ST11
ERR10440950	2015-09-22	ST11
ERR10440951	2015-09-22	ST307
ERR10440952	2015-10-04	ST11
ERR10440953	2015-10-11	ST17
ERR10440954	2015-10-15	ST11
ERR10440956	2015-11-03	ST11
ERR10440958	2015-11-25	ST307
ERR10440959	2015-11-30	ST307
ERR10440960	2015-12-01	ST11
ERR10440961	2015-12-08	ST37
ERR10440962	2015-12-08	ST11
ERR10440963	2015-12-11	ST11
ERR10440964	2015-12-15	ST11
ERR10440965	2015-12-31	ST101
ERR10440966	2015-12-31	ST11
ERR10440968	2016-01-06	ST101
ERR10440970	2016-01-13	ST11
ERR10440971	2016-01-14	ST307
ERR10440975	2016-01-27	ST11
ERR10440980	2016-02-08	ST11-1LV
ERR10440983	2016-02-10	ST101
ERR10440985	2016-02-15	ST11
ERR10440987	2016-02-15	ST307
ERR10440988	2016-02-25	ST307
ERR10440989	2016-02-25	ST307
ERR10440990	2016-03-02	ST11-1LV
ERR10440991	2016-03-03	ST307
ERR10440992	2016-03-04	ST101
ERR10440993	2016-04-06	ST307
ERR10440995	2016-06-15	ST101
ERR10440996	2016-08-26	ST307
ERR10440997	2016-10-19	ST101
ERR10440998	2017-01-02	ST307
ERR10441000	2017-08-01	ST307
ERR10441001	2017-08-06	ST252
ERR10441002	2017-08-04	ST307
ERR10441004	2017-08-04	ST307
ERR10441005	2017-08-09	ST307
ERR10441006	2017-08-05	ST307
ERR10441007	2017-08-12	ST307
ERR10441008	2017-08-30	ST307
ERR10441009	2017-09-14	ST307
ERR10441010	2017-09-26	ST307
ERR10441011	2017-09-27	ST101
ERR10441012	2017-09-30	ST307
ERR10441013	2017-09-29	ST307
ERR10441014	2017-10-09	ST11
ERR10441015	2017-10-02	ST307
ERR10441016	2017-09-29	ST307
ERR10441017	2017-10-04	ST307
ERR10441018	2017-10-17	ST101
ERR10441020	2017-11-04	ST307
ERR10441021	2017-12-06	ST101
ERR10441022	2017-12-21	ST11
ERR10441024	2017-12-26	ST11
ERR10441025	2017-03-28	ST11
ERR10441026	2017-03-01	ST307
ERR10441028	2017-12-27	ST11
ERR10441029	2017-12-29	ST11
ERR10441032	2018-01-10	ST11
ERR10441034	2018-01-27	ST307
ERR10441309	2020-11-11	ST4381
ERR10441312	2020-11-08	ST307
ERR10441709	2020-04-06	ST307
ERR10441710	2020-04-06	ST307
ERR10441712	2020-04-06	ST1380
ERR10441714	2020-04-06	ST307
ERR10441715	2020-03-02	ST307
ERR10461797	2020-04-01	ST17
ERR10461798	2020-04-08	ST17
ERR10461799	2020-04-08	ST17
ERR10461800	2020-04-08	ST307
ERR10461801	2020-04-15	ST17
ERR10461802	2020-04-07	ST307
ERR10461803	2020-04-11	ST307
ERR10461804	2020-04-10	ST307
ERR10461805	2020-04-11	ST307
ERR10461806	2020-05-01	ST307
ERR10461807	2020-04-20	ST17
ERR10461808	2020-04-27	ST17
ERR10461811	2020-11-10	ST307
ERR10461812	2021-02-01	ST307
ERR10461813	2020-09-23	ST485
ERR10461814	2020-09-23	ST485
ERR10461815	2020-09-30	ST485
ERR10461816	2020-10-07	ST485
ERR10461817	2020-10-07	ST11
ERR10461818	2020-10-13	ST11
ERR10461819	2020-08-01	ST15
ERR10461820	2020-11-12	ST461
ERR10461821	2020-11-23	ST307
ERR10461822	2020-11-24	ST307
ERR10461824	2020-12-09	ST321
ERR10461825	2020-06-09	ST392
ERR10461826	2020-03-15	ST15
ERR10461827	2020-03-14	ST11
ERR10461828	2020-03-11	ST321
ERR10461829	2020-03-28	ST405
ERR10461830	2020-04-29	ST15
ERR10461831	2020-04-29	ST15
ERR10461832	2020-05-04	ST321
ERR10461833	2020-06-12	ST15
ERR10461834	2020-01-24	ST17
ERR10461835	2020-02-19	ST147
ERR10461836	2020-04-14	ST1393
ERR10461837	2020-03-26	ST3362
ERR10461838	2020-06-24	ST3362
ERR10461839	2020-08-18	ST15-1LV
ERR10461840	2020-09-07	ST11
ERR10461841	2020-09-11	ST392
ERR10461842	2020-05-13	ST15
ERR10461843	2020-05-18	ST307
ERR10461844	2020-10-10	ST11
ERR10461845	2020-05-08	ST11
ERR10461846	2020-05-26	ST348
ERR10461847	2020-12-15	ST15
ERR10461848	2020-12-01	ST307
ERR10461849	2020-12-01	ST307
ERR10461850	2020-05-07	ST307
ERR10461851	2020-02-12	ST11
ERR10461852	2020-02-11	ST11
ERR10461853	2020-03-07	ST101
ERR10461854	2020-03-12	ST307
ERR10461855	2020-04-12	ST15
ERR10461856	2020-04-15	ST15
ERR10461857	2020-04-27	ST15
ERR10461858	2020-04-30	ST405
ERR10461859	2020-05-12	ST11
ERR10461860	2020-05-04	ST15
ERR10461861	2020-04-30	ST15
ERR10461862	2020-05-07	ST3248
ERR10461863	2020-05-14	ST15
ERR10461864	2020-05-28	ST11
ERR10461865	2020-05-26	ST15
ERR10461866	2020-06-06	ST307
ERR10461867	2020-06-02	ST11
ERR10461868	2020-06-26	ST469
ERR10461869	2020-07-20	ST17
ERR10461870	2020-09-09	ST449
ERR10461871	2020-09-24	ST11
ERR10461872	2020-11-04	ST11
ERR10461873	2020-12-02	ST307
ERR10461874	2020-12-04	ST11
ERR10461875	2020-12-23	ST3248
ERR10461876	2021-01-11	ST45
ERR10461877	2021-02-12	ST5001
ERR10461878	2021-02-11	ST307
ERR10461879	2021-02-23	ST147
ERR10461880	2020-06-01	ST855
ERR10461881	2021-02-23	ST147
ERR10663150	2022-04-12	ST1774
ERR10663151	2022-07-27	ST512
ERR10663153	2022-07-15	ST45
ERR10663154	2022-07-20	ST11
ERR10663155	2022-05-02	ST307
ERR10663156	2022-04-25	ST307
ERR10663157	2022-05-02	ST147
ERR10663158	2022-07-04	ST147
ERR10663160	2022-06-22	ST147
ERR10663161	2022-05-31	ST36
ERR10663162	2022-07-02	ST307
ERR10663163	2022-07-11	ST307
ERR10663164	2022-07-05	ST307
ERR10663165	2022-07-13	ST147
ERR10663166	2022-07-20	ST219
ERR10663167	2022-07-22	ST147
ERR10663168	2022-07-20	ST147
ERR10663169	2022-07-25	ST307
ERR10663170	2022-07-28	ST395
ERR10663171	2022-07-27	ST23
ERR10663172	2022-07-29	ST395
